Title,Product ID,Type,Status,Permalink,Sku,Current Price,Regular Price,Sale Price,Downloadable,Virtual,Cogs,Managing Stock,In Stock,Stock Quantity,Backorders Allowed,Weight,Barcode,Brand,Tax Status,Tax Class,Shipping Class,Reviews Allowed,Average Rating,Rating Count,Atts,Dimensions,Low Stock Amount,Sold Individually,Catalog Visibility,Product Created At,Product Updated At,Image,Description,Tags,Category IDs,Category Names,Gross Items Sold,Items Sold,Gross Sales,Total Tax,Total Discounted,Total Refunds,Items Refunded,First Sold,Last Sold,Net Sales,Net Orders,Gross Items Sold Free,Daily Gross Items Sold,Days Of Stock Left
"Buddhist Psychology Training Integrating Mindfulness, Science, and Clinical Practice (Payment Plan)",31370,subscription,publish,https://courses.spiritrock.org/product/buddhist-psychology-training-integrating-mindfulness-science-and-clinical-practice-payment-plan/,BPTIM-P,139,139,0,,1,,,1,,,,,,taxable,,,,0,,,"{""length"":"""",""width"":"""",""height"":""""}",,1,,9/20/24 12:37,10/30/24 6:01,https://courses.spiritrock.org/wp-content/uploads/2024/09/Buddhist-Psychology-Training-Integrating-Mindfulness-Science-and-Clinical-Practice-28559599.webp,,,118,Courses,826,826,82679.75,0,1529,0,0,1/1/25 18:33,9/25/25 12:11,82679.75,826,0,3.09,
Anxiety: It's Not All in Your Mind (Payment Plan),36691,subscription,publish,https://courses.spiritrock.org/product/anxiety-its-not-all-in-your-mind-payment-plan/,ANXIETY-P,29,29,0,,1,,,1,,,,,,taxable,,,,0,,,"{""length"":"""",""width"":"""",""height"":""""}",,1,,2/10/25 6:19,2/20/25 17:39,https://courses.spiritrock.org/wp-content/uploads/2025/02/pexels-simon73-1266810-scaled.jpg,,,118,Courses,730,730,19460.45,0,353.8,0,0,2/19/25 12:38,9/19/25 22:17,19460.45,730,0,2.73,
April Insight Meditation Retreat at Home (Payment Plan),37824,subscription,publish,https://courses.spiritrock.org/product/masters-insight-meditation-home-retreat-payment-plan/,MIMHR-P,49,49,0,,1,,,1,,,,,,taxable,,,,0,,,"{""length"":"""",""width"":"""",""height"":""""}",,1,,3/5/25 8:47,3/24/25 17:27,https://courses.spiritrock.org/wp-content/uploads/2025/03/pexels-sadaham-yathra-249884-813421-scaled.jpg,,,118,Courses,533,533,18100.7,0,107.8,0,0,3/13/25 5:14,7/19/25 14:40,18100.7,533,0,2,
Honoring Our Teachers: Sylvia Boorstein and Sharon Salzberg in Conversation (Payment Plan),39876,subscription,publish,https://courses.spiritrock.org/product/honoring-our-teachers-sylvia-boorstein-and-sharon-salzberg-in-conversation-payment-plan/,HOT-P,29,29,0,,1,,,1,,,,,,taxable,,,,0,,,"{""length"":"""",""width"":"""",""height"":""""}",,1,,3/19/25 10:38,3/27/25 9:20,https://courses.spiritrock.org/wp-content/uploads/2025/03/pexels-mali-142497-1-scaled.jpg,,,118,Courses,410,410,9957.3,0,255.2,0,0,3/27/25 7:26,8/27/25 8:46,9957.3,410,0,1.54,
Stand Up For Compassion: A Free Course and Resource for Navigating Uncertain Times with Jack Kornfield,49088,simple,publish,https://courses.spiritrock.org/product/stand-up-for-compassion-a-free-course-and-resource-for-navigating-uncertain-times-with-jack-kornfield/,stand-up,0,0,0,,,,,1,,,,,,taxable,,,,0,,,"{""length"":"""",""width"":"""",""height"":""""}",,1,,6/24/25 7:04,6/24/25 7:04,https://courses.spiritrock.org/wp-content/uploads/2025/06/image-2.png,,,118,Courses,404,404,0,0,0,0,0,6/24/25 15:34,9/17/25 19:05,0,404,404,1.51,
Anxiety: It's Not All in Your Mind,36688,simple,publish,https://courses.spiritrock.org/product/anxiety-its-not-all-in-your-mind/,ANXIETY,299,299,0,,1,,,1,,,,,,taxable,,,,0,,,"{""length"":"""",""width"":"""",""height"":""""}",,1,,2/10/25 6:19,2/13/25 15:53,https://courses.spiritrock.org/wp-content/uploads/2025/02/pexels-simon73-1266810-scaled.jpg,,,118,Courses,375,375,94910,0,9079.5,0,0,2/19/25 10:53,4/18/25 10:39,94910,375,22,1.4,
"Buddhist Psychology Training Integrating Mindfulness, Science, and Clinical Practice (Payment Plan) (Early Bird)",31372,subscription,publish,https://courses.spiritrock.org/product/buddhist-psychology-training-integrating-mindfulness-science-and-clinical-practice-payment-plan-early-bird/,BPTIM-P-EB,90,90,0,,1,,,1,,,,,,taxable,,,,0,,,"{""length"":"""",""width"":"""",""height"":""""}",,1,,9/20/24 12:55,9/26/24 12:27,https://courses.spiritrock.org/wp-content/uploads/2024/09/Buddhist-Psychology-Training-Integrating-Mindfulness-Science-and-Clinical-Practice-28559599.webp,,,118,Courses,308,308,27598.5,0,121.5,0,0,1/1/25 21:30,9/24/25 9:25,27598.5,308,0,1.15,
"Buddhist Psychology Training Integrating Mindfulness, Science, and Clinical Practice (Payment Plan) (Special Pricing)",31382,subscription,publish,https://courses.spiritrock.org/product/buddhist-psychology-training-integrating-mindfulness-science-and-clinical-practice-payment-plan-special-pricing/,BPTIM-P-S,119,139,119,,1,,,1,,,,,,taxable,,,,0,,,"{""length"":"""",""width"":"""",""height"":""""}",,1,,9/20/24 13:20,10/30/24 6:02,https://courses.spiritrock.org/wp-content/uploads/2024/09/Buddhist-Psychology-Training-Integrating-Mindfulness-Science-and-Clinical-Practice-28559599.webp,,,118,Courses,307,307,36318.8,0,214.2,0,0,1/3/25 7:55,9/19/25 13:49,36318.8,307,0,1.15,
"Buddhist Psychology Training: Integrating Mindfulness, Science, and Clinical Practice | August 2025 (Payment Plan)",41412,subscription,publish,https://courses.spiritrock.org/product/buddhist-psychology-training-integrating-mindfulness-science-and-clinical-practice-august-2025-payment-plan/,BP6T25,149,149,0,,1,,,1,,,,,,taxable,,,,0,,,"{""length"":"""",""width"":"""",""height"":""""}",,1,,4/1/25 13:08,8/27/25 0:20,https://courses.spiritrock.org/wp-content/uploads/2024/09/Buddhist-Psychology-Training-Integrating-Mindfulness-Science-and-Clinical-Practice-28559599.webp,,,118,Courses,271,271,26875.75,0,108,0,0,4/20/25 7:47,9/25/25 10:12,26875.75,271,0,1.01,
April Insight Meditation Retreat at Home,37823,simple,publish,https://courses.spiritrock.org/product/masters-insight-meditation-home-retreat/,MIMHR,499,499,0,,1,,,1,,,,,,taxable,,,,0,,,"{""length"":"""",""width"":"""",""height"":""""}",,1,,3/5/25 8:39,3/24/25 17:27,https://courses.spiritrock.org/wp-content/uploads/2025/03/pexels-sadaham-yathra-249884-813421-scaled.jpg,,,118,Courses,267,267,86182.65,0,3582.1,0,0,3/13/25 5:43,4/24/25 12:16,86182.65,267,5,1,
A Path of Healing: The Wisdom of the Somatic and Subtle Body (Payment Plan),51729,subscription,publish,https://courses.spiritrock.org/product/a-path-of-healing-the-wisdom-of-the-somatic-and-subtle-body-payment-plan/,JS2C25-P,29,29,0,,1,,,1,,,,,,taxable,,,,0,,,"{""length"":"""",""width"":"""",""height"":""""}",,1,,7/24/25 12:45,8/8/25 17:01,https://courses.spiritrock.org/wp-content/uploads/2025/05/Spirit-Rock-Foundational-Buddhist-Teachings.jpg,,,118,Courses,233,233,6159.6,0,46.4,0,0,8/11/25 7:27,9/25/25 7:31,6159.6,233,0,0.87,
Living Dharma Program: Exploring & Integrating the Eightfold path in Daily Life (Payment Plan),49667,subscription,publish,https://courses.spiritrock.org/product/living-dharma-program-exploring-integrating-the-eightfold-path-in-daily-life-payment-plan/,LD5T25-P,99,99,0,,1,,,1,,,,,,taxable,,,,0,,,"{""length"":"""",""width"":"""",""height"":""""}",,1,,6/27/25 9:29,8/27/25 0:21,https://courses.spiritrock.org/wp-content/uploads/2025/05/Spirit-Rock-Foundational-Buddhist-Teachings.jpg,,,118,Courses,226,226,18149.75,0,180,0,0,7/2/25 7:27,9/24/25 20:51,18149.75,226,2,0.85,
Mindfulness Leadership Training (Payment Plan),32933,subscription,publish,https://courses.spiritrock.org/product/mindfulness-leadership-training-payment-plan/,MLT-P,299,299,0,,1,,,1,,,,,,taxable,,,,0,,,"{""length"":"""",""width"":"""",""height"":""""}",,1,,11/6/24 10:59,12/23/24 0:00,https://courses.spiritrock.org/wp-content/uploads/2024/11/pexels-jplenio-1632790-scaled.jpg,,,118,Courses,215,215,54463.5,0,0,0,0,1/4/25 16:31,9/23/25 13:00,54463.5,215,0,0.81,
Honoring Our Teachers: Sylvia Boorstein and Sharon Salzberg in Conversation,39875,simple,publish,https://courses.spiritrock.org/product/honoring-our-teachers-sylvia-boorstein-and-sharon-salzberg-in-conversation/,HOT,299,299,0,,1,,,1,,,,,,taxable,,,,0,,,"{""length"":"""",""width"":"""",""height"":""""}",,1,,3/19/25 10:36,3/26/25 20:20,https://courses.spiritrock.org/wp-content/uploads/2025/03/pexels-mali-142497-2-scaled.jpg,,,118,Courses,192,192,52722.65,0,2137.85,0,0,3/26/25 20:13,5/15/25 13:31,52722.65,192,2,0.72,
A Path of Healing: The Wisdom of the Somatic and Subtle Body,51728,simple,publish,https://courses.spiritrock.org/product/a-path-of-healing-the-wisdom-of-the-somatic-and-subtle-body/,JS2C25,299,299,0,,1,,,1,,,,,,taxable,,,,0,,,"{""length"":"""",""width"":"""",""height"":""""}",,1,,7/24/25 12:41,8/8/25 17:01,https://courses.spiritrock.org/wp-content/uploads/2025/05/Spirit-Rock-Foundational-Buddhist-Teachings.jpg,,,118,Courses,177,177,47789.75,0,1844.25,0,0,8/11/25 7:14,9/24/25 16:42,47789.75,177,10,0.66,
The Spectrum of Awareness: Expand the Breadth of Your Practice (Payment Plan),51312,subscription,publish,https://courses.spiritrock.org/product/the-spectrum-of-awareness-expand-the-breadth-of-your-practice-payment-plan/,WT1T25-P,29,29,0,,1,,,1,,,,,,taxable,,,,0,,,"{""length"":"""",""width"":"""",""height"":""""}",,1,,7/16/25 9:24,8/8/25 8:31,https://courses.spiritrock.org/wp-content/uploads/2025/05/Spirit-Rock-Foundational-Buddhist-Teachings.jpg,,,118,Courses,176,176,4956.1,0,17.4,0,0,8/8/25 13:16,9/25/25 11:48,4956.1,176,0,0.66,
The Spectrum of Awareness: A Practical Map for Deepening Meditation,51310,simple,publish,https://courses.spiritrock.org/product/the-spectrum-of-awareness-practical-map/,WT1T25,299,299,0,,1,,,1,,,,,,taxable,,,,0,,,"{""length"":"""",""width"":"""",""height"":""""}",,1,,7/16/25 9:07,8/8/25 8:31,https://courses.spiritrock.org/wp-content/uploads/2025/05/Spirit-Rock-Foundational-Buddhist-Teachings.jpg,,,118,Courses,168,168,46255.3,0,2033.2,0,0,8/8/25 7:46,9/17/25 4:58,46255.3,168,10,0.63,
Living Dharma Program: Exploring & Integrating the Eightfold path in Daily Life,49666,simple,publish,https://courses.spiritrock.org/product/living-dharma-program-exploring-integrating-the-eightfold-path-in-daily-life/,LD5T25,999,999,0,,1,,,1,,,,,,taxable,,,,0,,,"{""length"":"""",""width"":"""",""height"":""""}",,1,,6/27/25 9:24,8/27/25 0:21,https://courses.spiritrock.org/wp-content/uploads/2025/05/Spirit-Rock-Foundational-Buddhist-Teachings.jpg,,,118,Courses,148,148,95239.25,0,4296,0,0,7/3/25 9:59,9/25/25 9:55,95239.25,148,33,0.55,
"Buddhist Psychology Training: Integrating Mindfulness, Science, and Clinical Practice | August 2025",41411,simple,publish,https://courses.spiritrock.org/product/buddhist-psychology-training-integrating-mindfulness-science-and-clinical-practice-august-2025/,BP6T25-P,1599,1599,0,,1,,,1,,,,,,taxable,,,,0,,,"{""length"":"""",""width"":"""",""height"":""""}",,1,,4/1/25 13:05,8/27/25 0:20,https://courses.spiritrock.org/wp-content/uploads/2024/09/Buddhist-Psychology-Training-Integrating-Mindfulness-Science-and-Clinical-Practice-28559599.webp,,,118,Courses,134,134,119650.65,0,5796,0,0,4/4/25 7:06,8/28/25 13:36,119650.65,134,20,0.5,
The Four Buddhist Heart Practices (Brahmavih훮ras) (Payment Plan),32220,subscription,publish,https://courses.spiritrock.org/product/the-four-buddhist-heart-practices-brahmaviharas-payment-plan/,FBHP-P,29,29,0,,1,,,1,,,,,,taxable,,,,0,,,"{""length"":"""",""width"":"""",""height"":""""}",,1,,10/21/24 9:00,10/23/24 8:35,https://courses.spiritrock.org/wp-content/uploads/2024/09/pexels-lerkrat-tangsri-19447-91147.jpg,,,118,Courses,104,104,2343.7,0,34.8,0,0,1/1/25 12:26,1/26/25 9:42,2343.7,104,0,0.39,
"Buddhist Psychology Training Integrating Mindfulness, Science, and Clinical Practice | August 2025 (Continuing Education Credits)",41410,simple,publish,https://courses.spiritrock.org/product/buddhist-psychology-training-integrating-mindfulness-science-and-clinical-practice-august-2025-continuing-education-credits/,BPT-CE-AUG-2025,180,180,0,,1,,,1,,,,,,taxable,,,,0,,,"{""length"":"""",""width"":"""",""height"":""""}",,1,,4/1/25 13:03,5/16/25 13:28,https://courses.spiritrock.org/wp-content/uploads/2024/09/pexels-david-bartus-43782-2873473.jpg,,,122,Continuing Education Credits,98,98,17640,0,0,0,0,4/20/25 7:47,9/18/25 10:56,17640,98,0,0.37,
Next Step Dharma: Integrate Your Retreat into Daily Life (Payment Plan),46344,subscription,publish,https://courses.spiritrock.org/product/next-step-dharma-integrate-your-retreat-into-daily-life-payment-plan/,OS1N24-P,29,29,0,,1,,,1,,,,,,taxable,,,,0,,,"{""length"":"""",""width"":"""",""height"":""""}",,1,,5/15/25 7:51,9/5/25 7:11,https://courses.spiritrock.org/wp-content/uploads/2025/05/Oren-Next-Step-Dharma_-Slides-4.png,,,118,Courses,69,69,1753,0,0,0,0,7/11/25 16:04,9/23/25 8:22,1753,69,0,0.26,
Next Step Dharma: Integrate Your Retreat into Daily Life,46342,simple,publish,https://courses.spiritrock.org/product/next-step-dharma-integrate-your-retreat-into-daily-life/,OS1N24,299,299,0,,1,,,1,,,,,,taxable,,,,0,,,"{""length"":"""",""width"":"""",""height"":""""}",,1,,5/15/25 7:47,9/5/25 7:11,https://courses.spiritrock.org/wp-content/uploads/2025/05/Oren-Next-Step-Dharma_-Slides-4.png,,,118,Courses,62,62,14891,0,747,0,0,7/10/25 13:01,9/23/25 8:11,14891,62,3,0.23,
"Buddhist Psychology Training Integrating Mindfulness, Science, and Clinical Practice (Continuing Education Credits)",31449,simple,publish,https://courses.spiritrock.org/product/buddhist-psychology-training-integrating-mindfulness-science-and-clinical-practice-continuing-education-credits/,BPTIM-CE,180,180,0,,1,,,1,,,,,,taxable,,,,0,,,"{""length"":"""",""width"":"""",""height"":""""}",,1,,9/24/24 8:41,9/27/24 10:52,https://courses.spiritrock.org/wp-content/uploads/2024/09/pexels-david-bartus-43782-2873473.jpg,,,122,Continuing Education Credits,52,52,9108,0,252,0,0,1/2/25 7:40,5/3/25 9:05,9108,52,1,0.19,
"Buddhist Psychology Training Integrating Mindfulness, Science, and Clinical Practice",31330,simple,publish,https://courses.spiritrock.org/product/buddhist-psychology-training-integrating-mindfulness-science-and-clinical-practice/,BPTIM,1599,1599,0,,1,,,1,,,,,,taxable,,,,0,,,"{""length"":"""",""width"":"""",""height"":""""}",,1,,9/19/24 15:31,10/23/24 12:29,https://courses.spiritrock.org/wp-content/uploads/2024/09/Buddhist-Psychology-Training-Integrating-Mindfulness-Science-and-Clinical-Practice-28559599.webp,,,118,Courses,49,49,66657.3,0,4098.45,0,0,1/1/25 10:31,1/23/25 16:06,66657.3,49,0,0.18,
Anxiety: It's Not All in Your Mind (Continuing Education Credits),37303,simple,publish,https://courses.spiritrock.org/product/anxiety-its-not-all-in-your-mind-continuing-education-credits/,ANXIETY-CE,100,100,0,,1,,,1,,,,,,taxable,,,,0,,,"{""length"":"""",""width"":"""",""height"":""""}",,1,,2/14/25 10:18,2/14/25 10:20,https://courses.spiritrock.org/wp-content/uploads/2024/09/pexels-david-bartus-43782-2873473.jpg,,,122,Continuing Education Credits,41,41,4060,0,40,0,0,2/19/25 12:56,4/3/25 18:40,4060,41,0,0.15,
Mindfulness Leadership Training,32932,simple,publish,https://courses.spiritrock.org/product/mindfulness-leadership-training/,MLT,2999,2999,0,,1,,,1,,,,,,taxable,,,,0,,,"{""length"":"""",""width"":"""",""height"":""""}",,1,,11/6/24 10:56,12/23/24 0:00,https://courses.spiritrock.org/wp-content/uploads/2024/11/pexels-jplenio-1632790-scaled.jpg,,,118,Courses,21,21,53232.25,0,5248.25,0,0,1/4/25 13:08,2/24/25 9:57,53232.25,21,0,0.08,
The Four Buddhist Heart Practices (Brahmavih훮ras) | 2025,55083,simple,publish,https://courses.spiritrock.org/product/the-four-buddhist-heart-practices-brahmaviharas-2025/,JB1C25,299,299,0,,1,,,1,,,,,,taxable,,,,0,,,"{""length"":"""",""width"":"""",""height"":""""}",,1,,8/27/25 0:38,8/27/25 0:39,https://courses.spiritrock.org/wp-content/uploads/2024/09/pexels-lerkrat-tangsri-19447-91147.jpg,,,118,Courses,6,6,1794,0,0,0,0,9/20/25 11:52,9/25/25 10:14,1794,6,0,0.02,
The Four Buddhist Heart Practices (Brahmavih훮ras) | 2025 (Payment Plan),55084,subscription,publish,https://courses.spiritrock.org/product/the-four-buddhist-heart-practices-brahmaviharas-2025-payment-plan/,JB1C25-P,29,29,0,,1,,,1,,,,,,taxable,,,,0,,,"{""length"":"""",""width"":"""",""height"":""""}",,1,,8/27/25 0:39,8/27/25 0:40,https://courses.spiritrock.org/wp-content/uploads/2024/09/pexels-lerkrat-tangsri-19447-91147.jpg,,,118,Courses,6,6,174,0,0,0,0,9/6/25 16:15,9/25/25 8:26,174,6,0,0.02,
The Art of Self-Compassion with Chronic Pain,56945,simple,publish,https://courses.spiritrock.org/product/the-art-of-self-compassion-with-chronic-pain/,Self-Compassion,299,299,0,,1,,,1,,,,,,taxable,,,,0,,,"{""length"":"""",""width"":"""",""height"":""""}",,1,,9/18/25 8:57,9/18/25 8:58,https://courses.spiritrock.org/wp-content/uploads/2025/05/Spirit-Rock-Foundational-Buddhist-Teachings.jpg,,,118,Courses,1,1,299,0,0,0,0,9/25/25 12:04,9/25/25 12:04,299,1,0,0,
"Buddhist Psychology Training Integrating Mindfulness, Science, and Clinical Practice (Early Bird)",31371,simple,publish,https://courses.spiritrock.org/product/buddhist-psychology-training-integrating-mindfulness-science-and-clinical-practice-early-bird/,BPTIM-EB,999,1599,999,,1,,,1,,,,,,taxable,,,,0,,,"{""length"":"""",""width"":"""",""height"":""""}",,1,,9/20/24 12:53,9/26/24 12:28,https://courses.spiritrock.org/wp-content/uploads/2024/09/Buddhist-Psychology-Training-Integrating-Mindfulness-Science-and-Clinical-Practice-28559599.webp,,,118,Courses,0,0,0,0,0,0,0,,,0,,0,0,
"Buddhist Psychology Training Integrating Mindfulness, Science, and Clinical Practice (Special Pricing)",31381,simple,publish,https://courses.spiritrock.org/product/buddhist-psychology-training-integrating-mindfulness-science-and-clinical-practice-special-pricing/,BPTIM-S,1399,1599,1399,,1,,,1,,,,,,taxable,,,,0,,,"{""length"":"""",""width"":"""",""height"":""""}",,1,,9/20/24 13:19,9/26/24 12:27,https://courses.spiritrock.org/wp-content/uploads/2024/09/Buddhist-Psychology-Training-Integrating-Mindfulness-Science-and-Clinical-Practice-28559599.webp,,,118,Courses,0,0,0,0,0,0,0,,,0,,0,0,
The Four Buddhist Heart Practices (Brahmavih훮ras),31660,simple,publish,https://courses.spiritrock.org/product/the-four-buddhist-heart-practices-brahmaviharas/,FBHP,299,299,0,,1,,,1,,,,,,taxable,,,,0,,,"{""length"":"""",""width"":"""",""height"":""""}",,1,,9/27/24 10:39,10/23/24 8:06,https://courses.spiritrock.org/wp-content/uploads/2024/09/pexels-lerkrat-tangsri-19447-91147.jpg,,,118,Courses,0,0,0,0,0,0,0,,,0,,0,0,
The Art of Self-Compassion with Chronic Pain (Payment Plan),56946,subscription,publish,https://courses.spiritrock.org/product/the-art-of-self-compassion-with-chronic-pain-payment-plan/,Self-Compassion-p,29,29,0,,1,,,1,,,,,,taxable,,,,0,,,"{""length"":"""",""width"":"""",""height"":""""}",,1,,9/18/25 8:59,9/18/25 8:59,https://courses.spiritrock.org/wp-content/uploads/2025/05/Spirit-Rock-Foundational-Buddhist-Teachings.jpg,,,118,Courses,0,0,0,0,0,0,0,,,0,,0,0,
The Art of Self-Compassion with Chronic Pain (Continuing Education Credits),57544,simple,publish,https://courses.spiritrock.org/product/the-art-of-self-compassion-with-chronic-pain-continuing-education-credits/,Self-Compassion-ce,100,100,0,,1,,,1,,,,,,taxable,,,,0,,,"{""length"":"""",""width"":"""",""height"":""""}",,1,hidden,9/24/25 13:49,9/24/25 14:03,https://courses.spiritrock.org/wp-content/uploads/2024/09/pexels-david-bartus-43782-2873473.jpg,,,122,Continuing Education Credits,0,0,0,0,0,0,0,,,0,,0,0,